ISBN-16,Title,Author,Co-authors,Year,Fiction Flag,Genre,Subgenre,Paperback Flag,Price
978-555-0-32177-036-8,Status Symbols,Harry Harrison,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-037-5,"Star Trek: Time and Again, Again",Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-038-2,Journey to Ohio,Sally Sallinen,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-039-9,Yoga for New Mothers,"Dr. Samah El-Fatihi, M.D.",,2019,Nonfiction,Health,Fitness,Paperback,$18.99
978-555-0-32177-040-5,And Then What?,Jason Wood,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-041-2,Grilling with Dad,Bobby Hill,,2019,Nonfiction,Cookbook,Barbecue,Paperback,$18.99
978-555-0-32177-042-9,Master of the Waves,Mohammad bin Kadar,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-043-6,Travel Diary: Costa Rica,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-044-3,A Match Made in Space,George McFly,,2019,Fiction,Science fiction,,Paperback,$18.99
978-555-0-32177-045-0,Aboard the HMS Belfast,Aria Jones,,2019,Fiction,Historical,,Paperback,$18.99
978-555-0-32177-046-7,Cruising Along,Michelle Watson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-047-4,Claim Denied,Susan Puffinsberger,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-048-1,Moby Dick,Herman Melville,,2019,Fiction,Adventure,Nautical,Paperback,$18.99
978-555-0-32177-049-8,Quick Notes: Moby Dick,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-050-4,Carrying the Flame,Zainab Mohammed,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-051-1,Greased Tomatoes,Gustavo Vargas y Kohler,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-052-8,Tangling with Bandits,Joan Hoff,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-053-5,Not Enough Rice,Steve Kneipp,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-054-2,Star Trek: What Tarquin Didn't Say,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-055-9,Lightbulbs and Candles,Mark Petrel,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-056-6,The Harpooned Heart,Marge Simpson,,2019,Fiction,Romance,Historical,Paperback,$18.99
978-555-0-32177-057-3,On the Rough Streets of Royal Oak,Quincy Washington,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-058-0,In the Can,James Albertson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-059-7,Airbrush: The Continuing Adventures of L. J. Tibbs,Timothy McGee,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-060-3,"The Adventures of Jack Cannon, Boy Detective",Alice Tanner,,2019,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-061-0,Quick Notes: The Great Gatsby,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-062-7,A Cow Looks Over the Gate,Aaron Aaronson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-063-4,"I Assure You Nothing Happens in This Book",Bernie Backhaus,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-064-1,The Stranger,Carla Cormorant,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-065-8,Travelers On the Same Road,David Diamond,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-066-5,The Magical Return of Joe,Luisa Juanita Gomez,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-067-2,Assets and Liabilities,Francisca Fioretti,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-068-9,All Downhill from There,Gabriela Goodwin,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-069-6,The Visitor,Hannah Housemont,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-070-2,The Memo,Imogen Imhoffe,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-071-9,One Short of a Barbershop Quartet,Jack Jackson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-072-6,Star Trek: Tal Shiar: Game of Spies,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-073-3,You and What Army?,Kevin Kilmer,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-074-0,Star Wars: Attack of the Binary Load Lifters,Luther Landingham,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-075-7,The Nominee,Martin Martinson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-076-4,We'll Meet in Twenty Years,Ned North,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-077-1,Death on the Trail,Emily Everpuff,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-078-8,The Impostor,Peter Parker,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-079-5,Sherlock Holmes and the Case of the Forged Edict,Quincy Quonsett,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-080-1,Counterfeiters,Robert Robertson,,2019,Fiction,Thriller,Heist,Paperback,$18.99
978-555-0-32177-081-8,Remember...,Susan Seabridges,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-082-5,The Wages of Sin,Taylor Tuck,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-083-2,The World of the Before Times,Umberto Underhill,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-084-9,Kitty on the Prowl,Valerie Vandeen,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-085-6,Plantain Harvest,Walter Winchell,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-086-3,Bureau of Minor Adjustments,Xavier Xanthos,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-087-0,Star Trek: Tal Shiar: Back in the Fold,William Gold,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-088-7,Sonatina in C major,Olivia Oliver,,2019,Fiction,Romance,Historical,Paperback,$18.99
978-555-0-32177-089-4,"Good Cop, Bad Cop",Zainab Zamorra,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-090-0,Grand Duel of the Idiots,Antonio Puentes,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-091-7,Primo Weed,Barbara Quincy,,2019,Nonfiction,Gardening,,Paperback,$18.99
978-555-0-32177-092-4,The Dollar Commander,Charlesetta Romaine,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-093-1,Star Trek: Tal Shiar: Their Tender Mercies,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-094-8,The Prophecy of the Bottle Cap,David Sanders,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-095-5,Anchors Aweigh,Emilio Gonzales,,2019,Fiction,Thriller,Nautical,Paperback,$18.99
978-555-0-32177-096-2,A Wolf in Sheep's Clothing,Franca Llanez,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-097-9,Tales of Trees,Ginger Jones,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-098-6,Star Wars: Heresy,Hallie Meyers,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-099-3,Accountable Sooner or Later,Yesenia Young,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-100-6,The Dog and the Wolf,Jessica Ha,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-101-3,In the Gazebo,Kimberly Chen,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-102-0,Sentimental Waltzes,Laurie Ikamura,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-103-7,Star Trek: Obsidian Order: Their Tender Mercies,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-104-4,The Cover Up Is Worse Than the Crime,Mattie Hayward,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-105-1,Swords and Plowshares,Nina Hao,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-106-8,The Fable of the Aardvark,Olivia Kalmus,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-107-5,Sharpening the Halberd,Petra Taranu,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-108-2,Death on the Bus to Sterling Heights,Quentin Thomas,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-109-9,The Ghosts of the Shed,Roberta Quigley,,2019,Fiction,Horror,,Paperback,$18.99
978-555-0-32177-110-5,Cops on the Take,Ionia Bloodworth,,2019,Fiction,Mystery,Police Procedural,Paperback,$18.99
978-555-0-32177-111-2,Murder Under the Radar,Sharona Fleming,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-112-9,Star Trek: Palace Intrigue on the Klingon Homeworld,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-113-6,Star Wars: Hoth Revisited,Tamara Thunberg,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-114-3,An Accountant's Adventure Undercover,Ulysses M. Grant,,2019,Fiction,Thriller,Heist,Paperback,$18.99
978-555-0-32177-115-0,Cerberus as a Puppy,Mahmoud bin Kabul,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-116-7,Calendars of My Ancestors,Valeria Lopez,,2019,Nonfiction,History,Chronology,Paperback,$18.99
978-555-0-32177-117-4,Quick Notes: Maya Angelou,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-118-1,Headphones for the Dead Man,Wanda Wrzszczek,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-119-8,Spoonful of Rice,Xena Jones,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-120-4,The Witches of Ferndale,Yesenia Peña,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-121-1,An Epic Journey to the Corner Store,Zoe Maldonado,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-122-8,The Mercenary's Information Kit,Nona Shapovalova,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-123-5,A Shepherd in the City,Julietta Kolmogorovna,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-124-2,The Best Thing Since Sliced Bread,Gustavo Vargas y Kohler,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-125-9,"Graft and Corruption in Florida",Brenda Starr,,2019,Nonfiction,Politics,Investigative Reporting,Paperback,$18.99
978-555-0-32177-126-6,Splitting Aces,Carla Moulton,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-127-3,The Little Big Hotel,Dominique Halpern,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-128-0,Star Trek: Forgotten Homeworlds,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-129-7,A Gun on the Nightstand,Everett Colthorp,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-130-3,Unexpected Helpers,Fanny Michaelson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-131-0,The Falcon,Glurga Zpanak,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-132-7,Living and Dying by the Actuarial Tables,Hanson Handel,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-133-4,On the Way to Clontarf,Ian McGillicuddygillyblarp,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-134-1,Restricted to Quarters,Jefferson Lofton,,2019,Fiction,Thriller,Military,Paperback,$18.99
978-555-0-32177-135-8,Scala Collections In Depth,Alonso del Arte,,2019,Nonfiction,Computer Programming,Scala,Paperback,$38.99
978-555-0-32177-136-5,The Enemies List,Amelia Teegerb,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-137-2,A Little Snack on a Big Plate,Lewis Monkson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-138-9,Between Volleys,Martina Dobranovača,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-139-6,Under Quarantine,Norma Blackfeather,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-140-2,Digging Up the Backyard for Diamonds,Otoña Guzman,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-141-9,Secrets of Truly Transformational Philanthropy,Paula Petroni,,2019,Nonfiction,Politics,Public Policy,Paperback,$18.99
978-555-0-32177-142-6,Lyrics on a Bar Napkin,Queen Lewiston,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-143-3,Quick Notes: To Kill a Mockingbird,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-144-0,Voyage to Delaware,Raymonda Tovey-Johnson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-145-7,An Arm and a Leg,Solida Williams,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-146-4,The Patent Lawyer and the Tiger,Teresa Władyczrzszek,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-147-1,Last Train to Muskegon,Kevin Riverton,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-148-8,Ice Cream and Tomatoes,Vernee Jefferson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-149-5,The Astronaut Diver,Walter Miller,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-150-1,Guns of Hartford,Xander Boustrophedon,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-151-8,Pulling Up the Ladder,Yara Stiller,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-152-5,Waiting in the Wings,Zachariah ben Haim,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-153-2,Testing Java Swing with JUnit,Alonso del Arte,,2019,Nonfiction,Computer Programming,Java,Paperback,$38.99
978-555-0-32177-154-9,Withholding Evidence,Allison Guzman,,2019,Fiction,Mystery,,Paperback,$18.99
978-555-0-32177-155-6,Legion of the Sword,Bao Yu,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-156-3,Star Trek: Obsidian Order: Revisionist History,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-157-0,One More Guest at the Table,Clotilda Florida,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-158-7,Not Much to Go On,Damar Watson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-159-4,Just a Glitch,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-160-0,Leaving Too Much on the Table,Eugenio Sombras,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-161-7,Tanks Rolling Down Main Street,Frank Port,,2019,Fiction,Thriller,Military,Paperback,$18.99
978-555-0-32177-162-4,On the Scales of Justice,Gloorga Vrpz,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-163-1,The Shield of Marnax,Henderson Jones,,2019,Fiction,Fantasy,,Paperback,$18.99
978-555-0-32177-164-8,Travel Diary: Nigeria,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-165-5,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-166-2,_TITLE_,Iona Da,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-167-9,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-168-6,A Tree of Ice,Justina Madison,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-169-3,Quick Notes: Scandal in Bohemia,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-170-9,Murder on the Bunny Slopes,Lando Calrissian Watson,,2019,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-171-6,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-172-3,Luck Be a Lady Tomorrow Night,Malena Paretti,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-173-0,The Judge's Husband,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-174-7,The Mini Golf Hustler,Nona McLeod,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-175-4,Let Sleeping Kitties Lie,Olla Hammoud,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-176-1,Assembly Line of Doom,Paula Straiton,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-177-8,Taking the Solo,Quentis Vargas,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-178-5,Ice Princess,Paula Straiton,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-179-2,Murder Factory,Raul Fernandez,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-180-8,Star Trek: Seven Suns,Jesús María Peña,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-181-5,Best Practices in Industrial Engineering,Sonia Gomez,,2019,Nonfiction,Engineering,,Paperback,$18.99
978-555-0-32177-182-2,Robbery in Broad Daylight,Tina Tao,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-183-9,Stories from the Nunnery,Ursula Svensson,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-184-6,Shadows,Vana Soo,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-185-3,Desert Son,Walking Bear,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-186-0,The Judge's Wife,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-187-7,Déjà Vu All Over Again,Xenia Billmer,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-188-4,Pilot Error,Yesenia Iñárritu,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-189-1,Prodigal Son,Zima al Hambra,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-190-7,War Cries,Aaron Dean Morgan,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-191-4,Quick Notes: The King James Bible,Songlian Wu,,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-192-1,_TITLE_,_AUTHOR_,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-193-8,Brig Break,Blanca Valles,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-194-5,Star Trek: Sword of Stars,Cza Bukowna,,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-195-2,Travel Diary: Belize,Wolfdieter Braunschweig,,2019,Nonfiction,Travel,,Paperback,$18.99
978-555-0-32177-196-9,Boots On the Ground,Diana Bayerstumpfen,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-197-6,Sightings,Ewa Krzszmzczukowna,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-198-3,The Sisterhood,Flora Molinari,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-199-0,Playing Defense,Gilda Martin,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-200-3,The Barnes Indeterminacy,Robert Muldoon,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-201-0,The Barnes Correlation,Robert Muldoon,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-202-7,The Barnes Happenstance,Robert Muldoon,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-203-4,The Barnes Occurrence,Robert Muldoon,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-204-1,The Barnes Collusion,Robert Muldoon,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-205-8,The Barnes Truce,Robert Muldoon,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-206-5,The Barnes Maelstrom,Robert Muldoon,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-207-2,The Barnes Concurrence,Robert Muldoon,,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-208-9,The Barnes Blowback,Robert Muldoon,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-209-6,The Barnes Decision,Robert Muldoon,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
978-555-0-32177-210-2,The Two-Way Mirror,Hacha Yu,,2019,Fiction,GENRE PLACEHOLDER,,Paperback,$18.99
